"spellname","checktime","signupdays","logindays","lastlogin","lastlogindiff","loginfrequency"
"yeyuzhen","2015/11/19 16:54:14","80","2","2015/11/20","79","0.0250"
"baojiaoyan","2015/11/19 15:33:23","80","2","2015/11/20","79","0.0250"
"wanbeijin","2015/11/19 15:28:04","80","2","2015/11/20","79","0.0250"
"zhangfan_2","2015/11/19 15:05:00","80","2","2015/11/30","69","0.0250"
"tangrui","2015/10/10 15:14:43","120","3","2015/11/18","81","0.0250"
"linqing","2015/12/29 10:05:34","40","1","2015/12/29","40","0.0250"
"shiminghui","2015/12/29 16:18:19","40","1","2015/12/29","40","0.0250"
"liujingte","2015/11/19 16:42:17","80","2","2015/11/24","75","0.0250"
"rongcong","2015/12/29 17:01:24","40","1","2015/12/29","40","0.0250"
"humujing","2015/11/19 15:39:13","80","2","2015/11/20","79","0.0250"
"baozirui","2015/12/29 10:34:06","40","1","2015/12/29","40","0.0250"
"wanggai","2015/12/29 15:50:09","40","1","2015/12/29","40","0.0250"
"sunqianqian","2015/11/19 15:42:18","80","2","2015/11/20","79","0.0250"
"linzhijiao","2015/11/19 14:43:26","80","2","2015/12/10","59","0.0250"
"yuwenfei","2015/8/31 14:10:46","160","4","2016/1/18","20","0.0250"
"huangjiaying","2015/11/19 14:55:19","80","2","2015/11/23","76","0.0250"
"guojianwen","2015/11/19 17:14:33","80","2","2016/1/26","12","0.0250"
"weicheng","2015/11/19 14:38:06","80","2","2016/2/3","4","0.0250"
"pangzheng","2015/12/29 09:44:12","40","1","2015/12/29","40","0.0250"
"yanchao","2015/12/29 16:48:39","40","1","2015/12/29","40","0.0250"
"weixuan","2015/11/19 16:34:08","80","2","2015/11/20","79","0.0250"
"gonghe","2015/12/29 15:41:02","40","1","2015/12/29","40","0.0250"
"suxiaosuo","2015/11/19 15:22:36","80","2","2015/11/20","79","0.0250"
"zhengli","2015/11/19 11:57:24","80","2","2015/12/3","66","0.0250"
"liuhuiyong","2015/10/10 17:10:26","120","3","2015/11/2","97","0.0250"
"wurina","2015/11/19 16:25:05","80","2","2016/1/21","17","0.0250"
"ruanchengjie","2015/11/19 16:14:48","80","2","2015/11/20","79","0.0250"
"ouyangjinhua","2015/10/10 11:05:23","120","3","2015/10/19","111","0.0250"
"linmoqian","2015/7/23 10:32:53","199","5","2015/10/26","104","0.0251"
"sunyibin","2015/7/23 10:22:58","199","5","2015/9/24","136","0.0251"
"zhaozhongbao","2015/9/1 08:59:03","159","4","2015/12/22","47","0.0252"
"zhoushun","2015/9/1 11:15:23","159","4","2015/11/24","75","0.0252"
"wangmingxia","2015/11/20 11:11:42","79","2","2015/12/11","58","0.0253"
"yincheng","2015/11/20 17:44:52","79","2","2016/1/26","12","0.0253"
"pengwenjing","2015/11/20 14:35:17","79","2","2015/11/23","76","0.0253"
"caocanxia","2015/11/20 18:07:13","79","2","2016/1/15","23","0.0253"
"huangzhili","2015/11/20 16:38:05","79","2","2015/11/23","76","0.0253"
"zhangzhenqiang","2015/11/20 15:56:04","79","2","2015/11/26","73","0.0253"
"shenyi_1","2015/11/20 14:19:36","79","2","2015/12/20","49","0.0253"
"zhangyuping","2015/11/20 15:37:21","79","2","2015/12/8","61","0.0253"
"zhoujiarui","2015/11/20 10:52:24","79","2","2015/11/24","75","0.0253"
"wanghao","2015/11/20 15:44:12","79","2","2016/1/27","11","0.0253"
"liankun","2015/11/20 17:16:54","79","2","2015/11/23","76","0.0253"
"shijia","2015/11/20 10:33:52","79","2","2015/12/14","55","0.0253"
"wangchun","2015/9/2 10:19:45","158","4","2016/1/27","11","0.0253"
"tangyongqiang","2015/11/20 11:45:27","79","2","2015/11/23","76","0.0253"
"bichongjian","2015/11/20 10:53:13","79","2","2016/2/2","5","0.0253"
"zhuyanxiang","2015/11/20 15:54:13","79","2","2015/11/26","73","0.0253"
"lina_3","2015/11/20 16:56:14","79","2","2016/1/15","23","0.0253"
"yangqifan","2015/11/20 16:47:07","79","2","2016/1/20","18","0.0253"
"zhangsiyuan","2015/10/12 16:26:57","118","3","2015/10/14","116","0.0254"
"lulingjun","2015/10/12 16:35:39","118","3","2016/1/12","26","0.0254"
"gaoxin","2015/10/12 11:32:44","118","3","2015/11/5","94","0.0254"
"zhenghong","2015/10/12 15:42:44","118","3","2015/11/3","96","0.0254"
"muyanqiu","2015/12/30 10:17:38","39","1","2015/12/30","39","0.0256"
"guojia","2015/12/30 11:14:23","39","1","2015/12/30","39","0.0256"
"wangjiapeng","2015/10/13 17:22:12","117","3","2015/10/15","115","0.0256"
"moufang","2015/10/13 15:27:52","117","3","2015/11/11","88","0.0256"
"xieshiyu","2015/7/27 11:37:04","195","5","2015/10/29","101","0.0256"
"zhanghaiqiang","2015/12/30 10:59:27","39","1","2015/12/31","38","0.0256"
"liuzhe","2015/10/13 16:02:59","117","3","2015/12/3","66","0.0256"
"wangbin","2015/10/13 16:03:14","117","3","2015/10/26","104","0.0256"
"huangxiaoling","2015/7/27 11:22:59","195","5","2015/9/30","130","0.0256"
"xiayang","2015/10/13 11:18:45","117","3","2015/10/28","102","0.0256"
"tangweiwei","2015/12/30 11:10:03","39","1","2015/12/30","39","0.0256"
"lihaitao","2015/12/30 17:07:41","39","1","2015/12/30","39","0.0256"
"yuanting","2015/10/13 15:22:46","117","3","2015/11/11","88","0.0256"
"wufengkai","2015/12/30 11:50:28","39","1","2015/12/31","38","0.0256"
"guoxianhe","2015/12/30 16:19:58","39","1","2015/12/31","38","0.0256"
"kongyinlu","2015/12/30 11:43:17","39","1","2016/1/21","17","0.0256"
"sunzhenbang","2015/7/28 15:11:58","194","5","2015/9/28","132","0.0258"
"wangzilu","2015/10/14 08:34:07","116","3","2015/11/24","75","0.0259"
"zhuotianbin","2015/10/14 12:00:37","116","3","2015/10/30","100","0.0259"
"yangyongjie","2015/10/14 15:41:23","116","3","2015/10/19","111","0.0259"
"liuwei_1","2015/10/14 16:27:06","116","3","2015/10/27","103","0.0259"
"huangyong_1","2015/10/14 15:11:18","116","3","2016/1/20","18","0.0259"
"wuhongping","2015/10/14 15:27:04","116","3","2015/10/26","104","0.0259"
"wujunfen","2015/10/14 15:57:15","116","3","2015/10/26","104","0.0259"
"kongchen","2015/10/14 15:00:47","116","3","2015/10/26","104","0.0259"
"wuli","2015/10/14 10:49:46","116","3","2015/10/20","110","0.0259"
"zhaoran","2015/9/6 17:24:17","154","4","2015/10/20","110","0.0260"
"kangxikui","2015/9/6 14:57:26","154","4","2015/9/16","144","0.0260"
"fangjinda","2015/9/7 17:23:28","153","4","2016/1/12","26","0.0261"
"chenhaihong","2015/9/7 11:50:50","153","4","2015/12/23","46","0.0261"
"wangxiaolei_1","2015/10/15 09:13:50","115","3","2015/12/8","61","0.0261"
"sunyang","2015/10/15 15:24:38","115","3","2015/10/29","101","0.0261"
"zhenglinbin","2015/9/7 17:33:48","153","4","2015/10/19","111","0.0261"
"liuxingchen","2015/10/15 17:18:30","115","3","2015/11/18","81","0.0261"
"yanglingyao","2015/10/15 17:12:47","115","3","2015/11/18","81","0.0261"
"liulu_3","2015/10/15 16:26:05","115","3","2015/10/22","108","0.0261"
"linhong","2015/10/16 15:21:29","114","3","2015/10/23","107","0.0263"
"heyong","2015/9/8 10:26:40","152","4","2015/10/30","100","0.0263"
"liuxiangpeng","2015/10/16 15:54:21","114","3","2015/11/5","94","0.0263"
"zhangxinyue","2015/9/8 18:25:34","152","4","2015/12/2","67","0.0263"
"yanzhiling","2015/10/16 15:26:13","114","3","2015/10/27","103","0.0263"
"hujianlei","2015/9/8 14:53:12","152","4","2015/11/10","89","0.0263"
"xulujie","2015/11/23 13:46:44","76","2","2016/1/26","12","0.0263"
"qiyang","2015/10/16 14:27:08","114","3","2015/12/17","52","0.0263"
"wangjue_1","2015/11/23 14:22:49","76","2","2015/11/24","75","0.0263"
"zhangpeixian","2015/11/23 15:51:22","76","2","2016/1/20","18","0.0263"
"liuting_1","2015/11/23 08:35:26","76","2","2016/1/27","11","0.0263"
"qiuxinkai","2015/10/16 10:08:17","114","3","2015/10/29","101","0.0263"
"wenqifeng","2015/9/8 11:41:59","152","4","2015/11/19","80","0.0263"
"zhouliming","2015/10/16 11:21:05","114","3","2015/10/22","108","0.0263"
"zhangjun","2015/9/8 12:03:04","152","4","2015/11/6","93","0.0263"
"liuxiaoxiu","2015/12/31 11:15:18","38","1","2016/1/7","31","0.0263"
"chenxin_1","2015/11/23 14:29:36","76","2","2015/12/9","60","0.0263"
"zhangyixiao","2015/9/8 17:09:13","152","4","2015/9/25","135","0.0263"
"guoyuwan","2015/11/23 16:41:29","76","2","2015/11/30","69","0.0263"
"guojianlin","2015/11/23 16:28:15","76","2","2015/12/8","61","0.0263"
"getianxiang","2015/10/16 11:21:05","114","3","2015/11/6","93","0.0263"
"liulei_1","2015/10/16 14:31:25","114","3","2015/12/1","68","0.0263"
"zhangyinzhao","2015/11/23 10:11:39","76","2","2015/12/15","54","0.0263"
"linmiao","2015/11/23 17:41:13","76","2","2016/1/12","26","0.0263"
"renyanfei","2015/11/23 10:37:00","76","2","2016/1/26","12","0.0263"
"hanxue","2015/12/31 11:45:44","38","1","2016/1/4","34","0.0263"
"zhumaohui","2015/10/16 14:37:49","114","3","2015/10/27","103","0.0263"
"shaoyuxiang","2015/9/9 15:00:33","151","4","2016/1/22","16","0.0265"
"xiaoyayun","2015/9/9 10:40:41","151","4","2015/9/29","131","0.0265"
"duanjinhua","2015/9/9 15:01:20","151","4","2015/11/22","77","0.0265"
"yaolan","2015/9/9 08:56:37","151","4","2015/12/2","67","0.0265"
"yuanyuan_4","2015/9/9 14:43:03","151","4","2016/1/19","19","0.0265"
"yuchaona","2015/9/9 09:58:47","151","4","2015/9/28","132","0.0265"
"panwenfeng","2015/8/3 10:28:07","188","5","2015/8/14","177","0.0266"
"zhangbaozhi","2015/8/3 18:04:50","188","5","2015/8/31","160","0.0266"
"wanglu","2015/8/3 11:21:22","188","5","2015/10/15","115","0.0266"
"tangyijun","2015/8/3 11:45:32","188","5","2016/2/1","6","0.0266"
"chenjuan","2015/11/24 15:06:30","75","2","2015/11/25","74","0.0267"
"wanfu","2015/11/24 16:04:12","75","2","2015/12/21","48","0.0267"
"kuangjuanjuan","2015/11/24 17:15:19","75","2","2015/11/26","73","0.0267"
"huzhiying","2015/11/24 15:35:09","75","2","2016/1/28","10","0.0267"
"guobaizhi","2015/11/24 11:56:20","75","2","2015/11/26","73","0.0267"
"zhaodali","2015/11/24 10:54:37","75","2","2015/11/30","69","0.0267"
"liyan_9","2015/11/24 16:58:28","75","2","2015/11/25","74","0.0267"
"zenghua","2015/11/24 14:49:51","75","2","2015/11/25","74","0.0267"
"xuchuming","2015/11/24 14:27:30","75","2","2015/11/25","74","0.0267"
"huahailong","2015/11/24 10:43:14","75","2","2015/11/25","74","0.0267"
"zhanggaoyuan","2015/11/24 17:03:25","75","2","2015/11/26","73","0.0267"
"huangfangyu","2015/11/24 14:27:45","75","2","2015/12/10","59","0.0267"
"tongwenqiang","2015/11/24 14:11:22","75","2","2015/11/25","74","0.0267"
"zhuhongyang","2015/11/24 17:18:38","75","2","2015/12/8","61","0.0267"
"chenwenzhe","2015/11/24 09:47:04","75","2","2015/11/26","73","0.0267"
"chenqianliang","2015/9/10 14:50:19","150","4","2015/9/30","130","0.0267"
"liupeng_1","2015/11/24 11:02:05","75","2","2015/12/8","61","0.0267"
"zhufeng_1","2015/9/10 15:22:24","150","4","2015/10/28","102","0.0267"
"quyuemin","2015/9/10 14:59:10","150","4","2015/12/8","61","0.0267"
"yuzeyi","2015/11/24 09:53:51","75","2","2016/1/4","34","0.0267"
"liangyan_1","2015/11/24 10:11:49","75","2","2016/1/21","17","0.0267"
"weijing","2015/11/24 15:06:29","75","2","2015/11/30","69","0.0267"
"liulin","2015/11/24 09:34:48","75","2","2016/1/26","12","0.0267"
"zhangzhebing","2015/11/24 16:45:56","75","2","2015/12/8","61","0.0267"
"liuyijiang","2015/11/24 12:01:45","75","2","2015/12/25","44","0.0267"
"xuduo","2015/11/24 14:47:40","75","2","2016/1/18","20","0.0267"
"zhuyinshu","2015/11/24 11:01:12","75","2","2016/1/7","31","0.0267"
"liucaiju","2015/9/10 17:41:10","150","4","2015/11/16","83","0.0267"
"zhangwei_2","2015/11/24 14:37:17","75","2","2016/1/21","17","0.0267"
"liuwenjie","2015/11/24 14:05:36","75","2","2015/12/8","61","0.0267"
"liaojinhui","2015/9/11 10:01:26","149","4","2015/12/21","48","0.0268"
"zhaoxueru","2015/9/11 09:52:58","149","4","2015/11/17","82","0.0268"
"mengguiyi","2015/9/11 10:08:23","149","4","2015/10/20","110","0.0268"
"chenkun","2015/9/11 15:46:43","149","4","2016/1/8","30","0.0268"
"zhangliang_1","2015/9/11 11:05:14","149","4","2015/9/30","130","0.0268"
"tianyingying","2015/11/25 16:57:17","74","2","2016/1/6","32","0.0270"
"kexuefeng","2015/11/25 11:54:44","74","2","2015/12/8","61","0.0270"
"zhangxiaohui","2015/10/19 11:00:51","111","3","2015/11/2","97","0.0270"
"liuqi","2015/10/19 16:27:24","111","3","2015/11/23","76","0.0270"
"chengxin","2015/11/25 17:28:52","74","2","2015/12/3","66","0.0270"
"liuying_2","2015/10/19 11:57:01","111","3","2015/11/5","94","0.0270"
"gewenbo","2015/11/25 14:34:35","74","2","2015/11/30","69","0.0270"
"shenjian","2015/10/19 11:33:07","111","3","2015/10/27","103","0.0270"
"sunwenzhao","2015/11/25 10:45:01","74","2","2015/12/1","68","0.0270"
"zhongfei","2015/11/25 11:20:54","74","2","2016/1/18","20","0.0270"
"tongqiaoying","2015/11/25 16:09:32","74","2","2015/11/26","73","0.0270"
"chenhongda_1","2015/10/19 15:41:07","111","3","2015/10/21","109","0.0270"
"zengbingbing","2015/10/19 14:27:56","111","3","2015/10/21","109","0.0270"
"yanghaixin","2015/11/25 16:45:54","74","2","2016/1/25","13","0.0270"
"fansijia","2015/11/25 11:32:29","74","2","2015/12/10","59","0.0270"
"caiyangyang","2015/11/25 11:28:36","74","2","2015/9/2","158","0.0270"
"maiqunmei","2015/11/25 11:53:24","74","2","2016/1/27","11","0.0270"
"yuwei","2015/11/25 16:35:20","74","2","2015/11/27","72","0.0270"
"xiekaimin","2015/10/20 09:30:32","110","3","2015/10/30","100","0.0273"
"duanshaoyun","2015/10/20 11:01:29","110","3","2015/12/3","66","0.0273"
"weihong","2015/10/20 13:57:31","110","3","2015/11/2","97","0.0273"
"shulin","2015/10/20 17:29:46","110","3","2016/1/28","10","0.0273"
"wucong","2015/10/20 15:38:53","110","3","2015/11/16","83","0.0273"
"yangzhengqin","2015/10/20 12:04:40","110","3","2015/12/1","68","0.0273"
"jiangyongwen","2015/10/20 14:59:03","110","3","2016/1/28","10","0.0273"
"hexueli","2015/10/20 10:09:51","110","3","2015/10/30","100","0.0273"
"wufei","2015/9/14 16:30:16","146","4","2015/12/30","39","0.0274"
"lipanpan_1","2015/11/26 16:52:59","73","2","2016/1/20","18","0.0274"
"huangli_1","2015/9/14 11:03:55","146","4","2016/1/21","17","0.0274"
"hanmei","2015/11/26 13:33:17","73","2","2015/12/28","41","0.0274"
"liangshi","2015/11/26 09:02:39","73","2","2016/1/6","32","0.0274"
"yangtianwen","2015/11/26 17:11:41","73","2","2015/12/11","58","0.0274"
"yaohang","2015/11/26 16:37:04","73","2","2015/11/27","72","0.0274"
"wangxiaojun_1","2015/11/26 16:46:04","73","2","2016/1/19","19","0.0274"
"mazhao","2015/11/26 10:46:28","73","2","2016/1/10","28","0.0274"
"hezijin","2015/11/26 11:45:26","73","2","2016/1/12","26","0.0274"
"zhouwei_1","2015/11/26 16:28:43","73","2","2015/11/30","69","0.0274"
"yingming","2015/11/26 09:43:26","73","2","2016/1/26","12","0.0274"
"wangyuxi_1","2015/11/26 14:10:10","73","2","2016/1/27","11","0.0274"
"weijie","2015/11/26 12:46:58","73","2","2016/1/5","33","0.0274"
"yuanye_1","2015/10/21 09:03:49","109","3","2015/10/30","100","0.0275"
"qianyan","2015/10/21 11:54:33","109","3","2015/10/29","101","0.0275"
"luyi_1","2015/10/21 10:47:21","109","3","2015/11/4","95","0.0275"
"yangjian_1","2015/10/21 16:27:53","109","3","2015/12/15","54","0.0275"
"zhanglu","2015/10/21 14:25:45","109","3","2015/10/23","107","0.0275"
"zhangchen","2015/10/21 11:17:05","109","3","2015/10/23","107","0.0275"
"kuaiwenjing","2015/10/21 14:23:37","109","3","2015/11/3","96","0.0275"
"louqinqin","2015/10/21 11:15:16","109","3","2015/10/26","104","0.0275"
"shaoshihan","2015/10/21 14:28:21","109","3","2015/10/28","102","0.0275"
"shenchen","2015/10/21 11:52:37","109","3","2015/10/26","104","0.0275"
"dujia","2015/10/21 10:43:46","109","3","2016/2/4","3","0.0275"
"wangbeili","2015/10/21 14:23:36","109","3","2015/11/12","87","0.0275"
"duanwei","2015/10/21 17:20:55","109","3","2015/11/25","74","0.0275"
"yubingxin","2015/9/15 10:01:18","145","4","2015/9/23","137","0.0276"
"sunbo","2015/9/15 17:06:40","145","4","2015/9/24","136","0.0276"
"huangyongjun","2015/9/15 17:15:10","145","4","2015/9/23","137","0.0276"
"yanglihuan","2015/10/22 10:08:28","108","3","2015/11/9","90","0.0278"
"wangcuihong","2015/10/22 16:39:43","108","3","2016/1/26","12","0.0278"
"tanyan","2015/9/16 10:24:59","144","4","2015/10/15","115","0.0278"
"sunliang","2015/10/22 11:15:15","108","3","2015/11/5","94","0.0278"
"zhangjunhao","2015/11/27 10:10:13","72","2","2016/1/28","10","0.0278"
"zhuchenbin","2015/10/22 14:45:53","108","3","2015/11/4","95","0.0278"
"zhangyibang","2015/11/27 09:49:44","72","2","2015/12/11","58","0.0278"
"huangcheng_2","2015/11/27 16:03:00","72","2","2015/12/11","58","0.0278"
"lilingfeng","2015/10/22 14:17:58","108","3","2016/1/11","27","0.0278"
"fangyuan","2015/9/16 11:38:39","144","4","2015/9/29","131","0.0278"
"mahonghui","2015/10/22 09:56:53","108","3","2015/10/26","104","0.0278"
"wangshumei","2015/11/27 16:30:58","72","2","2015/11/30","69","0.0278"
"dongting","2015/11/27 16:33:15","72","2","2016/1/27","11","0.0278"
"zhousinan","2015/11/27 14:42:02","72","2","2015/12/1","68","0.0278"
"wushanzi","2015/9/16 15:31:43","144","4","2015/9/24","136","0.0278"
"cuiyuchun","2015/10/22 14:22:04","108","3","2015/10/28","102","0.0278"
"yaowei","2015/11/27 16:36:32","72","2","2016/1/6","32","0.0278"
"majianghong","2015/11/27 13:59:04","72","2","2016/1/21","17","0.0278"
"chenxingyu","2015/9/16 14:22:42","144","4","2015/12/31","38","0.0278"
"jinzhongjie","2015/10/22 16:05:35","108","3","2015/10/27","103","0.0278"
"chenzhigang","2015/11/27 11:34:19","72","2","2015/12/30","39","0.0278"
"zhushuo","2015/11/27 09:24:05","72","2","2016/1/21","17","0.0278"
"zhangyifu","2015/9/16 11:30:11","144","4","2016/1/20","18","0.0278"
"jinchunmei","2015/10/22 17:28:56","108","3","2015/12/3","66","0.0278"
"wushiqian","2015/10/23 14:34:20","107","3","2016/1/5","33","0.0280"
"dengying_1","2015/10/23 11:42:31","107","3","2015/11/2","97","0.0280"
"shiwenbo","2015/10/23 14:04:31","107","3","2016/1/20","18","0.0280"
"yeyu","2015/9/17 09:31:34","143","4","2015/10/23","107","0.0280"
"huangsuzhen","2015/9/17 08:44:25","143","4","2015/9/24","136","0.0280"
"nikejun","2015/10/23 14:25:21","107","3","2015/12/9","60","0.0280"
"zhangwenhui","2015/9/17 11:33:28","143","4","2015/11/4","95","0.0280"
"changshufeng","2015/9/17 10:14:52","143","4","2015/11/12","87","0.0280"
"wangjianying","2015/9/17 16:17:28","143","4","2016/1/8","30","0.0280"
"wudi","2015/9/17 16:04:24","143","4","2016/1/18","20","0.0280"
"liuyan","2015/9/17 16:08:00","143","4","2015/12/17","52","0.0280"
"shengdebao","2015/9/17 15:52:12","143","4","2015/10/16","114","0.0280"
"wuwei1","2015/10/23 14:48:39","107","3","2015/11/25","74","0.0280"
"mayuanjuan","2015/9/17 16:11:52","143","4","2015/11/6","93","0.0280"
"linyingxia","2015/8/13 11:00:17","178","5","2015/9/9","151","0.0281"
"mengxiangpeng","2015/9/18 10:49:55","142","4","2016/1/4","34","0.0282"
"zhangdongrui","2015/9/18 16:41:09","142","4","2016/2/2","5","0.0282"
"zhanghao_1","2015/8/17 14:39:24","174","5","2015/9/25","135","0.0287"
"xuxiong","2015/8/17 14:42:19","174","5","2015/9/16","144","0.0287"
"liuzhaozhong","2015/8/17 14:41:38","174","5","2015/11/13","86","0.0287"
"wangxu_1","2015/10/26 17:20:14","104","3","2015/11/17","82","0.0288"
"yangziting","2015/10/26 16:25:09","104","3","2015/11/17","82","0.0288"
"guoli","2015/10/26 11:00:03","104","3","2015/10/29","101","0.0288"
"xialiang","2015/9/21 14:08:02","139","4","2015/12/4","65","0.0288"
"dengwei","2015/10/26 17:29:03","104","3","2015/10/28","102","0.0288"
"mouwei","2015/8/18 11:52:03","173","5","2015/10/15","115","0.0289"
"lizhao","2015/8/18 17:32:44","173","5","2015/10/28","102","0.0289"
"fenghui","2015/8/18 15:35:10","173","5","2015/12/2","67","0.0289"
"taolinfang","2015/9/22 16:09:59","138","4","2016/1/8","30","0.0290"
"chenhaimei","2015/9/22 10:34:20","138","4","2015/10/28","102","0.0290"
"lishanshan","2015/9/22 16:39:29","138","4","2016/1/19","19","0.0290"
"fengyan","2015/9/22 10:43:02","138","4","2015/9/28","132","0.0290"
"zhangdegui","2015/9/22 16:09:49","138","4","2015/10/26","104","0.0290"
"sunhaiyun","2015/11/30 15:26:36","69","2","2015/12/14","55","0.0290"
"bianfangfang","2015/11/30 11:19:56","69","2","2015/12/2","67","0.0290"
"chenguangming","2015/11/30 13:52:31","69","2","2015/12/24","45","0.0290"
"jicheng","2015/11/30 15:21:53","69","2","2015/12/1","68","0.0290"
"songjuan","2015/9/22 09:04:50","138","4","2015/10/13","117","0.0290"
"jiaolong","2015/9/22 14:26:31","138","4","2015/11/15","84","0.0290"
"shenjiale","2015/11/30 15:16:02","69","2","2015/12/1","68","0.0290"
"liangqiao","2015/11/30 16:14:32","69","2","2015/12/7","62","0.0290"
"liyan_1","2015/9/22 10:30:43","138","4","2015/10/26","104","0.0290"
"sunpeng","2015/9/22 16:12:54","138","4","2015/10/26","104","0.0290"
"lishuo","2015/11/30 15:46:01","69","2","2016/1/21","17","0.0290"
"luowanling","2015/10/27 11:02:15","103","3","2015/10/30","100","0.0291"
"zhangshanshan","2015/10/27 15:35:01","103","3","2016/1/7","31","0.0291"
"huangsi","2015/10/27 15:10:15","103","3","2015/11/3","96","0.0291"
"liuchao1","2015/10/27 13:56:51","103","3","2016/1/30","8","0.0291"
"zhousigang","2015/10/27 17:32:45","103","3","2016/1/26","12","0.0291"
"zhouyinliang","2015/10/27 15:44:07","103","3","2015/10/29","101","0.0291"
"hewei_2","2015/10/27 11:42:20","103","3","2016/1/12","26","0.0291"
"xuyuli","2015/10/27 15:50:13","103","3","2016/1/26","12","0.0291"
"yueliming","2015/10/27 09:34:13","103","3","2015/12/31","38","0.0291"
"guoxin","2015/8/19 16:56:26","172","5","2015/9/6","154","0.0291"
"diaoyuwei","2015/10/27 10:18:03","103","3","2015/10/30","100","0.0291"
"huangkai","2015/9/23 15:47:59","137","4","2016/2/5","2","0.0292"
"liuboran","2015/9/23 14:54:21","137","4","2015/9/29","131","0.0292"
"guxiaosong","2015/8/20 14:47:09","171","5","2015/9/1","159","0.0292"
"huxuanjian","2015/9/23 16:09:10","137","4","2015/11/9","90","0.0292"
"zhangyangyang","2015/9/23 11:29:22","137","4","2015/11/12","87","0.0292"
"zhouqiuhong","2015/9/23 14:34:49","137","4","2015/11/11","88","0.0292"
"xuwenyan","2015/9/23 10:27:25","137","4","2015/9/30","130","0.0292"
"zhangchao","2015/9/23 10:11:11","137","4","2015/11/24","75","0.0292"
"zuotian","2015/9/23 11:53:43","137","4","2016/1/26","12","0.0292"
"shixiaoyan","2015/8/20 15:19:37","171","5","2015/9/22","138","0.0292"
"wangkai_1","2015/12/1 11:54:45","68","2","2015/12/14","55","0.0294"
"chenjiejun","2015/10/28 10:58:55","102","3","2016/1/5","33","0.0294"
"xuyanan","2016/1/4 09:39:04","34","1","2016/1/4","34","0.0294"
"zhiliangcai","2015/10/28 10:48:48","102","3","2015/10/30","100","0.0294"
"wujing","2015/9/24 11:44:38","136","4","2015/11/4","95","0.0294"
"maofei","2016/1/4 11:11:15","34","1","2016/1/4","34","0.0294"
"zengjin","2015/10/28 15:38:40","102","3","2015/10/30","100","0.0294"
"shikeqiang","2016/1/4 12:00:01","34","1","2016/1/4","34","0.0294"
"dengjing","2016/1/4 15:12:28","34","1","2016/1/27","11","0.0294"
"sunlian","2016/1/4 13:05:06","34","1","2016/1/4","34","0.0294"
"goulinxia_1","2016/1/4 17:44:14","34","1","2016/1/5","33","0.0294"
"wangmaoqing","2016/1/4 16:07:04","34","1","2016/1/26","12","0.0294"
"fule","2016/1/4 15:23:15","34","1","2016/2/2","5","0.0294"
"lizhuoxin","2016/1/4 16:19:10","34","1","2016/2/3","4","0.0294"
"jilijuan","2015/12/1 16:42:52","68","2","2015/12/21","48","0.0294"
"shenyizhou","2015/12/1 14:07:43","68","2","2015/12/3","66","0.0294"
"gaoxupeng","2016/1/4 15:26:32","34","1","2016/1/4","34","0.0294"
"kangjinlinlin","2015/9/24 14:05:41","136","4","2015/11/6","93","0.0294"
"liquanfu","2016/1/4 08:57:03","34","1","2016/1/4","34","0.0294"
"xuxiufa","2016/1/4 10:19:26","34","1","2016/1/4","34","0.0294"
"lvtinghe","2015/12/1 16:58:07","68","2","2015/12/2","67","0.0294"
"lisiyuan_1","2015/12/1 16:56:53","68","2","2015/12/3","66","0.0294"
"gaoxin_1","2015/10/28 15:42:36","102","3","2015/10/30","100","0.0294"
"chenyujia","2016/1/4 09:59:30","34","1","2016/1/29","9","0.0294"
"zhangling_3","2016/1/4 15:30:46","34","1","2016/1/20","18","0.0294"
"zhangwenbin","2015/9/24 11:44:37","136","4","2015/9/29","131","0.0294"
"zhaoluyang","2015/9/24 15:05:44","136","4","2015/10/26","104","0.0294"
"wangxuefeng_1","2016/1/4 17:43:10","34","1","2016/1/19","19","0.0294"
"lina_5","2016/1/4 10:09:14","34","1","2016/1/22","16","0.0294"
"luowen","2016/1/4 13:52:51","34","1","2016/1/4","34","0.0294"
"zhangyan_12","2016/1/4 08:55:28","34","1","2016/1/25","13","0.0294"
"tuliwen","2016/1/4 16:19:08","34","1","2016/1/4","34","0.0294"
"yuminhua","2016/1/4 16:40:14","34","1","2016/1/4","34","0.0294"
"longyuefang","2015/12/1 14:04:10","68","2","2015/12/2","67","0.0294"
"zhangxin_5","2016/1/4 11:22:11","34","1","2016/1/27","11","0.0294"
"fengyong","2016/1/4 16:09:26","34","1","2016/1/18","20","0.0294"
"handan","2016/1/4 16:24:17","34","1","2016/1/8","30","0.0294"
"tiantian","2015/12/1 15:43:30","68","2","2015/12/8","61","0.0294"
"linyuhong","2015/12/1 15:51:14","68","2","2015/12/2","67","0.0294"
"sunzhanxiang","2016/1/4 16:31:29","34","1","2016/1/4","34","0.0294"
"songwei_1","2015/10/28 17:41:24","102","3","2016/1/8","30","0.0294"
"yongshengnan","2015/9/24 16:49:20","136","4","2015/10/29","101","0.0294"
"wangguoliang","2015/9/25 15:07:41","135","4","2015/11/16","83","0.0296"
"liujingxuan_1","2015/10/29 17:13:12","101","3","2015/11/10","89","0.0297"
"mahui","2015/10/29 11:24:59","101","3","2015/11/20","79","0.0297"
"lihao_3","2015/10/29 18:05:20","101","3","2015/11/6","93","0.0297"
"wangfang1","2015/10/29 15:24:25","101","3","2016/1/11","27","0.0297"
